"goods_img","goods_title","goods_price","goods_sales","shop_title","shop_platform","goods_link","grab_time","page_type","category"
"https://imgservice5.suning.cn/uimg1/b2c/image/QVnuyYX8xjaB0gqtU6_HhQ.jpg_400w_400h_4e","李宁(LI-NING) 男女同款斜挎包 ABDU225-2 黄色自营","15887.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160537.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice4.suning.cn/uimg1/b2c/image/ncknHlZFcH0MGk-6HommUw.jpg_400w_400h_4e","李宁(LI-NING) 运动水壶 2L大容量便携 AQTU205-2 黑灰自营","15887.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160540.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/HmCwQbSrJPBnOYXgzEliVA.jpg_400w_400h_4e","李宁(LI-NING) 运动水壶 2L大容量便携 AQTU205-1 蓝紫渐变自营","15887.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160541.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/y8Jn85UDyoheweW0Q62jbQ.jpg_400w_400h_4e","李宁(LI-NING) 女款2024开衫无帽卫衣AWDUA80-2 乳白色 XS-3XL(码数备注)质量保障","18019.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160542.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice4.suning.cn/uimg1/b2c/image/-wC1kznbCOWAlY9VviDMgQ.jpg_400w_400h_4e","李宁(LI-NING) 篮球比赛套装 男款 AATU017-2 黑色 S-5XL(码数备注)质量保障","18019.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160543.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/iRa2HjiTi8wMA1aPTtTOlA.jpg_400w_400h_4e","李宁(LI-NING) 篮球比赛套装 男款 AATU017-8 尘幕蓝 S-5XL(码数备注)质量保障","18019.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160544.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/pP_pTjJ4tmsScjMC2TRDHg.jpg_400w_400h_4e","李宁(LI-NING) 篮球比赛套装 男款 AATU017-11 标准白 S-5XL(码数备注)质量保障","18019.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160545.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/_e8gj-b8FShRfTVAAyBXCQ.jpg_400w_400h_4e","李宁(LI-NING) 篮球比赛套装 男款 AATU017-13 浙江红 S-5XL(码数备注)质量保障","18019.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160546.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/wU_HvJcCu1_0rMSdjeAflg.jpg_400w_400h_4e","李宁(LI-NING) 男女同款羽毛球服T恤 AAYU149-2 标准白质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160548.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/g8diRwHWXTKzYr7nlDJNsw.jpg_400w_400h_4e","李宁(LI-NING) 男女同款 羽毛球服T恤 AAYU149-4 晶蓝色质量保障","21218.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160549.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/0xgJNn_yCEFKiF2XY9nltA.jpg_400w_400h_4e","李宁(LI-NING) 短袖ATSU839-1 黑色质量保障","10557.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160550.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice4.suning.cn/uimg1/b2c/image/TxDgnH0cIqcPXi4WelHGRA.jpg_400w_400h_4e","李宁(LI-NING) 短袖ATSU839-2 白色质量保障","10557.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160551.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice4.suning.cn/uimg1/b2c/image/0BYnUQ4HNSAnI_R81DlPOg.jpg_400w_400h_4e","李宁(LI-NING) 跑步鞋男款 ARHU023-1 黑色/银色 美码6.5-12(参考码数对照表并备注)自营","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160554.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/4cezabGxyZJTz0uEfi524A.jpg_400w_400h_4e","李宁(LI-NING)跑步鞋男款 ARHU023-4-标准白/水滴灰 美码6.5-12(参考码数对照表并备注)自营","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160556.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/Ts_n6uYaKKAhiC5IZI3k4A.jpg_400w_400h_4e","李宁(LI-NING) 跑步鞋男款 ARHU023-2 黑色 美码6.5-12(参考码数对照表并备注)自营","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160557.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/9cLTLruRZE5ckBnBRm1oPA.jpg_400w_400h_4e","李宁(LI-NING) 跑步鞋女款 ARHU024-4 标准白/水滴灰 美码4.5-9(参考码数对照表并备注)自营","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160558.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/prZVDpiiW2ufIjXliWIQXA.jpg_400w_400h_4e","李宁(LI-NING) 跑步鞋女款 ARHU024-6 标准白/公牛红 美码4.5-9(参考码数对照表并备注)自营","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160559.html","2025-07-07 08:54","product","运动户外"

"https://imgservice4.suning.cn/uimg1/b2c/image/6RLpmbrEgn1FRTwd4DFZ9g.jpg_400w_400h_4e","李宁(LI-NING) 跑步鞋女款 ARHU024-1 黑色/银色 美码4.5-9(参考码数对照表并备注)自营","42542.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436160560.html","2025-07-07 08:54","product","运动户外"

"https://imgservice3.suning.cn/uimg1/b2c/image/9hpPSlqgTNL2gmfygoE2sw.jpg_400w_400h_4e","李宁(LI-NING) 冷感运动毛巾 AMJR047-1000质量保障","6987.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436257235.html","2025-07-07 08:54","product","运动户外"

"https://imgservice1.suning.cn/uimg1/b2c/image/fZnILgCRZXAvhcfMogtlrw.jpg_400w_400h_4e","李宁(LI-NING) 男女同款双肩背包 ABSU257-4黑色自营","31879.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436467551.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice1.suning.cn/uimg1/b2c/image/9MsGkqIz61BStfu0mZFJZg.jpg_400w_400h_4e","李宁(LI-NING) 男女同款斜挎包 ABDU225-3黑色自营","15887.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436467552.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice1.suning.cn/uimg1/b2c/image/n1exxmtq5ChPuudhYD9_jA.jpg_400w_400h_4e","李宁(LI-NING) 胸包斜挎包防水 ABDU101-1黑色自营","15887.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12436467553.html","2025-07-07 08:54","product","服装鞋帽"

"https://imgservice1.suning.cn/uimg1/b2c/image/FXeW7aPniCuumTbWMVPi2g.jpg_400w_400h_4e","李宁(LI-NING) 女款2024舒适运动长裤 AKLU982-1 黑色 XS-3XL(码数备注)质量保障","20625.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12437240275.html","2025-07-07 08:54","product","运动户外"

"https://imgservice2.suning.cn/uimg1/b2c/image/e3LNTtav-z-kuvP2TzQJuQ.jpg_400w_400h_4e","李宁(LI-NING) 男款短袖T恤2024春季运动上衣 ATSU551 标准白 S-5XL(码数备注)质量保障","16875.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12437240460.html","2025-07-07 08:54","product","运动户外"

"https://imgservice1.suning.cn/uimg1/b2c/image/UdWDG4xdGkMIK8JcptRclA.jpg_400w_400h_4e","李宁(LI-NING) 女款短袖T恤2024春季运动上衣ATSU552 标准白 XS-3XL(码数备注)质量保障","16875.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12437240988.html","2025-07-07 08:54","product","运动户外"

"https://imgservice2.suning.cn/uimg1/b2c/image/mwqndwwQLSdZmHoGwLSpyg.jpg_400w_400h_4e","李宁(LI-NING)2024年男子赤兔7 PRO跑步鞋 ARPU001-3 40码质量保障","64800.00","0","苏宁自营","苏宁","https://product.suning.com/0000000000/12439472131.html","2025-07-07 08:54","product","运动户外"

